dt,open,close,mn,mx,delta
2019-06-01,79.0283,80.2133,79.0283,80.2405,1.499462851
2019-07-01,80.2717,80.6008,80.262,80.6008,0.409982597
2019-08-01,80.6339,82.2852,80.5915,82.2852,2.047897968
2019-09-01,82.3196,82.4835,82.3196,82.6151,0.199102036
2019-10-01,82.5158,82.0975,82.0975,82.5257,-0.506933218
2019-11-01,82.0043,82.1528,81.9083,82.1793,0.181088065
2019-12-01,82.1612,82.303,82.1612,82.5536,0.172587547
2020-01-01,82.2533,81.8338,81.6211,82.2533,-0.510009933
2020-02-01,81.8637,81.9089,81.8637,82.0237,0.055213727
2020-03-01,81.9112,82.1362,81.9112,82.2593,0.274687711
2020-04-01,82.1182,82.9395,82.0284,82.9395,1.000143695
2020-05-01,82.9034,83.6051,82.9034,83.6051,0.846406782
2020-06-01,83.6972,84.8994,83.6972,84.8994,1.436368242
2020-07-01,84.9029,85.1538,84.8531,85.199,0.295514052
2020-08-01,85.1915,86.9543,85.1915,86.9543,2.069220521
2020-09-01,87.028,87.1076,87.028,87.2131,0.091464816
2020-10-01,87.1146,86.6171,86.6171,87.1254,-0.571086821
2020-11-01,86.5863,86.8019,86.5101,86.8019,0.249000131
2020-12-01,86.8533,86.8689,86.8429,87.1482,0.017961321
2021-01-01,86.7528,86.4465,86.2225,86.7528,-0.353072177
2021-02-01,86.5133,86.4939,86.4681,86.6252,-0.022424298
2021-03-01,86.5533,86.7313,86.5533,86.8575,0.205653626
2021-04-01,86.7255,87.4572,86.6293,87.4907,0.843696491
2021-05-01,87.5022,88.2398,87.5022,88.2398,0.842950234
2021-06-01,88.3161,89.4886,88.3161,89.4886,1.327617501
2021-07-01,89.5052,89.7545,89.4424,89.7675,0.278531303
2021-08-01,89.772,91.5736,89.772,91.5736,2.006861828
2021-09-01,91.6099,91.7121,91.6099,91.8072,0.111559995
2021-10-01,91.6413,91.2103,91.2103,91.7235,-0.470311966
2021-11-01,91.2367,91.4276,91.1147,91.4276,0.209235976
2021-12-01,91.4403,91.4067,91.4067,91.7474,-0.036745286
2022-01-01,91.3716,91.0869,90.8309,91.3716,-0.311584781
2022-02-01,91.1389,91.1368,91.0701,91.2229,-0.002304175
2022-03-01,91.1804,91.3391,91.1556,91.4514,0.174050563
2022-04-01,91.2553,92.0554,91.2348,92.0554,0.876770993
2022-05-01,92.0813,92.8594,92.0813,92.8594,0.845014134
2022-06-01,92.8967,94.0903,92.8967,94.0903,1.284868031
2022-07-01,94.0296,94.3357,94.0296,94.3392,0.325535789
2022-08-01,94.4103,96.1541,94.4103,96.1541,1.847044231
2022-09-01,96.2043,96.239,96.1723,96.4127,0.036069074
2022-10-01,96.2486,95.8613,95.8371,96.322,-0.402395463
2022-11-01,95.8721,96.0148,95.7105,96.0148,0.148844137
2022-12-01,96.0401,96.025,95.9882,96.3533,-0.015722599
2023-01-01,95.9706,95.712,95.4274,95.9724,-0.269457521
2023-02-01,95.726,95.7646,95.6663,95.8219,0.040323423
2023-03-01,95.7692,95.8693,95.7326,96.0568,0.104522122
2023-04-01,95.8657,96.6338,95.8336,96.6338,0.801225047
2023-05-01,96.718,97.4408,96.718,97.4408,0.747327281
2023-06-01,97.4902,98.6143,97.4641,98.6726,1.153038972
2023-07-01,98.6346,98.9748,98.6336,98.9748,0.344909393
2023-08-01,99.0336,100.747,99.0336,100.747,1.730119879
2023-09-01,100.721,100.846,100.721,101.015,0.124105201
2023-10-01,100.836,100.497,100.466,100.92,-0.336189456
2023-11-01,100.469,100.615,100.309,100.615,0.145318456
2023-12-01,100.562,100.623,100.562,100.953,0.060659096
2024-01-01,100.627,100.299,100.022,100.627,-0.325956254
2024-02-01,100.326,100.371,100.264,100.418,0.044853777
2024-03-01,100.312,100.457,100.312,100.659,0.144549007
2024-04-01,100.492,101.339,100.429,101.339,0.842853162
2024-05-01,101.368,101.547,101.367,101.579,0.176584326
